listing_id,host_since,host_acceptance_rate,superhost,host_total_listings,neighborhood,room_type,accommodates,beds,min_nights,total_reviews,avg_rating,price
2187594,1/9/2014,1,TRUE,1,Petworth,EntireHome/apt,4,2,7,138,4.99,69
2241084,1/18/2014,0.67,TRUE,2,Georgetown,EntireHome/apt,4,2,31,97,4.9,195
2277705,1/25/2014,0.99,TRUE,3,CapitolHill,EntireHome/apt,4,2,3,313,4.87,114
2304761,12/10/2010,0.48,FALSE,79,DupontCircle,PrivateRoom,1,1,31,10,4.78,55
2308259,1/30/2014,0.88,TRUE,1,Georgetown,EntireHome/apt,4,2,31,112,4.74,199
2308761,1/29/2014,1,TRUE,2,FortMcNair,EntireHome/apt,4,4,2,129,4.72,149
2337016,2/4/2014,0.82,TRUE,1,Takoma,EntireHome/apt,4,2,4,58,4.79,125
2361802,2/8/2014,1,TRUE,1,CapitolHill,EntireHome/apt,4,3,3,317,4.89,175
2371799,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,5,2,31,14,4.79,364
2380536,2/11/2014,0.96,TRUE,2,CapitolHill,EntireHome/apt,2,1,31,124,4.93,111
2410486,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,54,4.91,35
2419118,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,43,4.98,40
2476761,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,69,4.91,201
2477330,1/22/2014,1,FALSE,4,Downtown,PrivateRoom,2,1,2,276,4.48,88
2547672,10/10/2013,0.96,TRUE,5,Takoma,PrivateRoom,2,1,1,18,4.89,65
2657916,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,28,4.56,29
2685655,6/6/2012,0.62,FALSE,2,Georgetown,EntireHome/apt,6,2,4,52,4.76,350
2690487,8/29/2013,0.93,FALSE,2,CapitolHill,EntireHome/apt,6,1,1,NA,NA,176
2694647,3/5/2012,0.99,FALSE,23,DupontCircle,EntireHome/apt,4,2,31,389,4.72,250
2791050,4/14/2014,0.99,TRUE,9,CapitolHill,PrivateRoom,2,1,2,547,4.94,68
2964999,3/16/2013,0.86,FALSE,44,DupontCircle,PrivateRoom,1,1,31,17,4.71,73
3051210,9/8/2013,0.8,TRUE,1,Takoma,EntireHome/apt,2,2,30,42,4.83,100
3103276,4/14/2014,0.99,TRUE,9,CapitolHill,PrivateRoom,2,2,2,543,4.89,68
3635540,7/18/2014,1,TRUE,1,CapitolHill,EntireHome/apt,4,2,3,144,4.9,130
3651862,7/20/2014,0.97,TRUE,1,Georgetown,EntireHome/apt,4,2,2,244,4.87,121
3760995,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,14,4,39
3761001,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,13,4.25,35
3806145,12/16/2010,0.98,FALSE,2,CapitolHill,EntireHome/apt,2,1,31,104,4.93,164
3851703,10/10/2013,0.96,TRUE,5,Takoma,PrivateRoom,1,1,1,21,4.95,80
3861766,8/23/2013,0.93,TRUE,5,DupontCircle,NA,2,1,7,165,4.92,145
3907276,8/18/2014,1,TRUE,3,DupontCircle,EntireHome/apt,2,1,31,50,4.88,104
3914048,8/18/2014,NA,FALSE,1,Petworth,EntireHome/apt,3,1,31,9,4.71,275
3997598,8/30/2014,0.76,TRUE,2,Georgetown,EntireHome/apt,2,1,3,87,4.78,250
4033904,9/3/2014,1,TRUE,1,Takoma,EntireHome/apt,4,1,1,18,4.89,99
4054129,7/29/2013,1,TRUE,2,Petworth,EntireHome/apt,4,1,31,24,4.83,75
4055607,9/7/2014,0.98,TRUE,2,CapitolHill,EntireHome/apt,5,2,3,422,4.9,168
4055742,10/4/2012,0.37,FALSE,9,Georgetown,EntireHome/apt,2,1,90,3,4,65
4083095,9/9/2014,0.92,TRUE,2,DupontCircle,EntireHome/apt,2,1,3,354,4.92,139
4092017,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,3,2,31,3,4.67,294
4190758,8/16/2014,1,TRUE,1,Takoma,EntireHome/apt,1,2,3,53,4.91,59
4204367,1/22/2014,1,FALSE,4,Downtown,PrivateRoom,1,1,2,232,4.55,80
4231934,9/25/2012,1,FALSE,17,FortMcNair,PrivateRoom,3,1,1,428,4.52,83
4284144,1/15/2011,1,FALSE,4,DupontCircle,EntireHome/apt,3,2,3,486,4.74,141
4325533,10/12/2014,0.69,FALSE,1,Georgetown,EntireHome/apt,3,2,3,182,4.82,145
4359352,3/12/2012,0,FALSE,2,DupontCircle,EntireHome/apt,3,1,31,44,4.88,99
4417414,4/8/2013,0.47,FALSE,32,Georgetown,EntireHome/apt,6,3,31,1,5,854
4420920,8/3/2013,0.98,TRUE,6,Petworth,EntireHome/apt,2,1,1,232,4.86,79
4427874,8/9/2013,1,FALSE,11,Downtown,PrivateRoom,1,1,31,168,4.55,59
4447266,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,3,2,31,10,4.9,294
4468741,1/7/2014,NA,FALSE,1,Georgetown,EntireHome/apt,6,2,60,1,5,180
4482916,11/2/2014,1,FALSE,2,Takoma,EntireHome/apt,3,2,31,NA,NA,60
4482945,10/20/2014,0.69,TRUE,3,Petworth,PrivateRoom,1,1,2,NA,NA,60
4567511,8/5/2014,1,FALSE,1,Georgetown,EntireHome/apt,2,1,3,62,4.88,120
4579903,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,65,4.77,145
4580159,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,30,4.97,224
4622571,8/18/2014,1,TRUE,3,DupontCircle,EntireHome/apt,2,1,31,48,4.91,127
4635196,11/21/2014,0.73,FALSE,2,CapitolHill,EntireHome/apt,2,1,31,15,4.5,180
4645378,11/22/2014,1,TRUE,1,CapitolHill,EntireHome/apt,4,2,3,236,4.97,199
4801046,9/19/2012,1,TRUE,1,CapitolHill,EntireHome/apt,2,1,2,479,4.93,118
4841217,12/16/2014,1,TRUE,3,CapitolHill,EntireHome/apt,4,2,31,7,5,110
4848799,3/7/2013,0.95,TRUE,4,CapitolHill,PrivateRoom,2,1,2,90,4.88,126
4860800,11/6/2014,0,FALSE,14,Downtown,EntireHome/apt,3,1,31,4,3,80
4954600,1/3/2015,0,FALSE,4,Takoma,EntireHome/apt,6,4,7,42,4.6,150
4978586,9/29/2014,0.96,TRUE,9,Takoma,EntireHome/apt,3,2,31,58,4.79,58
4978657,12/16/2014,1,TRUE,3,CapitolHill,EntireHome/apt,4,2,31,31,4.94,260
5015395,10/10/2014,NA,FALSE,1,Petworth,PrivateRoom,1,1,65,5,5,88
5026926,12/16/2014,1,TRUE,3,CapitolHill,EntireHome/apt,6,3,31,35,4.91,275
5075773,10/21/2014,1,TRUE,7,Georgetown,NA,2,1,1,412,4.83,195
5076606,3/16/2013,0.86,FALSE,44,DupontCircle,EntireHome/apt,4,2,31,50,4.5,200
5089725,1/27/2012,1,TRUE,6,DupontCircle,EntireHome/apt,3,2,31,123,4.85,284
5145487,1/22/2014,1,FALSE,4,Downtown,EntireHome/apt,9,3,1,61,4.3,339
5166322,10/21/2014,1,TRUE,7,Georgetown,EntireHome/apt,2,1,1,356,4.88,139
5318112,2/10/2015,0.98,TRUE,2,Georgetown,EntireHome/apt,4,2,2,135,4.88,147
5372128,2/16/2015,0,FALSE,2,Georgetown,EntireHome/apt,3,2,31,53,4.47,125
5565601,9/11/2011,0.98,TRUE,1,Takoma,PrivateRoom,2,1,2,181,4.95,75
5692505,6/30/2011,1,TRUE,6,Georgetown,EntireHome/apt,2,1,135,11,4.91,67
5903980,4/5/2015,1,FALSE,1,Georgetown,EntireHome/apt,2,1,2,90,4.98,196
5986989,9/29/2014,0.96,TRUE,9,Takoma,EntireHome/apt,7,3,31,61,4.8,78
6027248,3/30/2015,0.92,FALSE,682,Downtown,EntireHome/apt,5,2,1,57,4.4,364
6047219,3/22/2013,NA,FALSE,4,Petworth,EntireHome/apt,6,2,31,10,5,112
6047348,3/22/2013,NA,FALSE,4,Petworth,PrivateRoom,1,1,58,1,5,350
6072414,4/19/2015,1,FALSE,1,CapitolHill,EntireHome/apt,16,6,7,12,5,395
6120408,12/27/2014,0.97,TRUE,1,Takoma,EntireHome/apt,2,1,2,184,4.96,80
6133291,11/3/2013,0.86,FALSE,3,CapitolHill,PrivateRoom,1,1,1,1,5,76
6133914,7/28/2013,NA,FALSE,1,CapitolHill,EntireHome/apt,2,1,31,134,5,130
6155371,3/22/2013,NA,FALSE,4,Petworth,EntireHome/apt,2,1,70,3,5,350
6157551,11/2/2014,1,FALSE,2,Takoma,EntireHome/apt,7,3,31,217,4.48,158
6227307,10/22/2013,0.91,FALSE,1,CapitolHill,EntireHome/apt,6,3,2,86,4.93,275
6334405,5/7/2015,1,TRUE,4,FortMcNair,PrivateRoom,1,1,5,79,4.89,75
